printed from child process 2962
Date		Store ID	Regester #	Sales Amount	
19/11/2016	2		3		363.73
27/5/2016	1		3		448.73
29/3/2016	2		3		461.53
4/4/2016	2		3		965.25
3/8/2016	1		1		648.54
29/4/2016	1		2		549.99
11/10/2016	2		6		628.17
16/12/2016	1		4		130.96
2/2/2016	1		4		314.20
14/1/2016	2		4		741.96
18/2/2016	1		5		953.24
28/2/2016	1		1		714.35
10/7/2016	2		5		404.45
4/2/2016	2		3		83.42
14/12/2016	1		6		485.65
7/5/2016	2		1		47.90
19/7/2016	1		5		106.20
7/12/2016	2		5		519.08
12/3/2016	1		3		894.14
30/11/2016	2		5		455.44
13/2/2016	1		2		67.82
28/9/2016	2		3		829.80
30/3/2016	1		5		772.76
12/11/2016	2		3		977.73
16/8/2016	2		5		230.75
8/10/2016	1		2		465.34
9/4/2016	1		3		718.49
14/12/2016	1		4		128.57
26/2/2016	2		4		354.70
24/9/2016	1		5		442.51
2/12/2016	2		5		866.25
6/11/2016	1		2		988.13
9/1/2016	2		4		233.71
27/11/2016	1		2		989.63
27/12/2016	2		5		693.92
18/9/2016	1		3		385.93
26/5/2016	2		6		200.32
12/9/2016	1		5		684.92
17/8/2016	2		2		172.92
16/8/2016	1		1		46.71
17/11/2016	2		3		234.30
3/12/2016	1		6		845.87
24/11/2016	1		6		440.77
24/3/2016	2		2		897.24
26/1/2016	1		5		869.13
8/4/2016	1		5		516.64
23/6/2016	2		2		755.48
5/8/2016	1		4		675.02
5/4/2016	2		3		133.44
26/8/2016	2		3		878.12
6/8/2016	1		4		756.47
25/9/2016	2		6		549.15
6/2/2016	1		6		284.68
28/10/2016	1		3		280.99
7/4/2016	2		3		532.70
3/6/2016	1		6		91.95
15/6/2016	2		2		896.80
10/9/2016	1		2		986.48
20/12/2016	2		1		583.63
15/9/2016	2		6		772.71
11/2/2016	2		4		225.07
13/6/2016	1		6		518.07
23/7/2016	2		2		813.50
15/7/2016	1		5		697.41
29/10/2016	2		5		736.00
25/5/2016	1		5		861.29
17/2/2016	1		1		403.51
16/2/2016	1		6		461.43
13/2/2016	2		6		127.32
8/6/2016	1		4		648.84
29/6/2016	1		3		507.15
21/10/2016	2		1		764.41
28/5/2016	2		1		37.33
13/12/2016	1		6		377.25
29/8/2016	2		1		267.13
10/7/2016	2		1		279.19
12/5/2016	1		2		14.60
4/2/2016	2		2		944.86
13/12/2016	1		5		794.45
1/5/2016	2		6		984.72
26/8/2016	2		1		313.34
8/3/2016	1		1		70.30
16/6/2016	2		5		111.27
4/6/2016	2		1		526.22
19/1/2016	1		1		242.89
1/4/2016	2		3		552.00
2/6/2016	2		6		474.23
6/8/2016	1		6		397.02
12/1/2016	1		2		497.66
25/6/2016	2		3		477.37
26/12/2016	2		3		447.95
